path,domain,bytes,lines,kind,scan_signals,sha256
app/src/main/java/com/horsenma/yourtv/SourcesAdapter.kt,main-kotlin,8242,233,text-static-inventory,async-lifecycle;focus-input,599e07eb439d29401b3b75db39791ac37e995b0fd3f3d608294ac4d90f4aa8c4
app/src/main/java/com/horsenma/yourtv/SourcesFragment.kt,main-kotlin,3937,124,text-static-inventory,async-lifecycle,2ed378a6f39c9e6130fd57e9bdd63b5d1cc4fc1bb3ed6184ca2aece1ab280b14
app/src/main/java/com/horsenma/yourtv/TbsDebugActivity.kt,main-kotlin,8955,212,text-static-inventory,network;async-lifecycle;media,3d739981b2806a3604e895061897ca68ca82c53987a0cae526ab46138af5845e
app/src/main/java/com/horsenma/yourtv/TimeFragment.kt,main-kotlin,3324,102,text-static-inventory,async-lifecycle,d1ba0297c6701db428f8df2e2bbc9ac4d73ae2b11169f687eb63179c96f34781
app/src/main/java/com/horsenma/yourtv/UpdateManager.kt,main-kotlin,49799,1015,text-static-inventory,network;async-lifecycle;focus-input;mutable-state,7adf4af9a52c9fe5bd27158b1c130508363d8fdda79210e4e10e3ee597e7a840
app/src/main/java/com/horsenma/yourtv/UserInfo.kt,main-kotlin,37251,795,text-static-inventory,network;async-lifecycle;mutable-state,c15a764c261700c35cc6fe571366e6d95a3b951f32b541e558977d3db3153c0f
app/src/main/java/com/horsenma/yourtv/UserVerificationHandler.kt,main-kotlin,26708,594,text-static-inventory,async-lifecycle;focus-input;mutable-state,7295b4f2f6ac50ecf07900aafa637c99ddb57982787f6ef34267631c3a660374
app/src/main/java/com/horsenma/yourtv/Utils.kt,main-kotlin,6559,196,text-static-inventory,network;async-lifecycle;mutable-state,881311253f3bb35eeb9438c2d91168b236e1a23edc10b8d9ebeab2d9d1558994
app/src/main/java/com/horsenma/yourtv/YourTVApplication.kt,main-kotlin,6608,202,text-static-inventory,mutable-state,5ddfb33a66baf0e93754f9b4870699de4eeda66020fe45bf3852301433c26e4a
app/src/main/java/com/horsenma/yourtv/YourTVExceptionHandler.kt,main-kotlin,3743,99,text-static-inventory,network;mutable-state,1cb505710d6f82850e38711df8d702f782616139dd88bb08fbc26c06e55c2632
app/src/main/java/com/horsenma/yourtv/data/EPG.kt,main-kotlin,128,8,text-static-inventory,,ded547ec918d52bc13be9791a1fb00f682bf2f9213e528e53f06812a5312dd91
app/src/main/java/com/horsenma/yourtv/data/Global.kt,main-kotlin,2755,82,text-static-inventory,,ddf11e08c63e8f962c30e364921e0d5464f3ead356a1ac6fc1293a6cae2a80e4
app/src/main/java/com/horsenma/yourtv/data/ReleaseResponse.kt,main-kotlin,214,10,text-static-inventory,,21bfeb54ff9162eb96925a05b59f7fa5102c39a3ff3635f576050fc50b77c29e
